pluginID,name,directory_name,description
9,"Image slideshow",build_cms_image_slideshow,"This is the default image slideshow plugin built by the Build_CMS foundation"
10,"Custom CSS",build_cms_custom_css,"This is the default custom css plugin built by the Build_CMS foundation"
11,"Contact Form",build_cms_contact_form,"This is the default contact form plugin built by the Build_CMS foundation"
12,"Build_CMS Menus",build_cms_menus,"This is the default menus plugin built by the Build_CMS foundation"
